"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1120001T","Lycée français de Budapest","304","Lycée français à l'étranger","Privé","Mariaremetei ut 193","","1029","HU","Hongrie","0","BUDAPEST","01/01/1983"
"1120002U","FONDATION ESSCA HONGRIE","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Czuczor utca 6","","1093","HU","Hongrie","0","BUDAPEST","18/10/2024"
