"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1370003J","Vauban Ecole et Lycée français de Luxembourg","304","Lycée français à l'étranger","Privé","1-3 RUE ALBERT EINSTEIN","","L-1484","LU","Luxembourg","","LUXEMBOURG","01/01/1985"
"1370004K","Ecole européenne de Luxembourg I","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","Boulevard Konrad Adenauer","","L-1115","LU","Luxembourg","","LUXEMBOURG","01/11/1996"
"1370006M","Ecole privée Notre-Dame Sainte-Sophie de Luxembourg","364","Collège français à l'étranger","Privé","4 RUE MARGUERITE DE BUSBACH","BP 1442","L-1014","LU","Luxembourg","","LUXEMBOURG","01/09/2009"
"1370007N","Ecole européenne de Luxembourg II","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","Rue Gaston Thorn","","L-8258","LU","Luxembourg","","BERTRANGE","01/09/2007"
"1370008P","Ecole internationale de Differdange, Luxembourg","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","6, Rue John Ernest Dolibois","","L-4573","LU","Luxembourg","","DIFFERDANGE","01/09/2016"
"1370009R","Lënster Lycée International School, Junglinster, Luxembourg","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","","","","LU","Luxembourg","","JUNGLINSTER","14/05/2019"
"1370010S","Ecole internationale Edward Steichen, Clervaux, Luxembourg","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","","","","LU","Luxembourg","","CLERVAUX","14/05/2019"
"1370011T","Ecole internationale de Mondorf-les-Bains, Luxembourg","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","","","","LU","Luxembourg","","MONDORF-LES-BAINS","14/05/2019"
"1370012U","ESSCA Luxembourg","445","Ecole de commerce- gestion- comptabilité- vente","Privé","38, route d'Esch","","L-1470","LU","Luxembourg","","LUXEMBOURG","01/09/2023"
