"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3500063S","Groupe Scolaire SandrinéO","364","Collège français à l'étranger","Privé","","","","MA","Maroc","","","18/06/2019"
"3500064T","Lycée français Sophie Germain","304","Lycée français à l'étranger","Privé","Angle av. Assandar","rue Addalbout Hay Riad secteur","","MA","Maroc","0","RABAT","18/06/2019"
"3500065U","Groupe Scolaire Jacques Chirac","304","Lycée français à l'étranger","Privé","","","","MA","Maroc","","","18/06/2019"
"3500066V","Em Lyon business school campus Casablanca","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Marina de Casablanca","Tour Ivoire 4","20000","MA","Maroc","0","CASABLANCA","01/01/2020"
"3500067W","ESSEC Campus de Rabat","445","Ecole de commerce- gestion- comptabilité- vente","Privé","ESSEC Africa-Atlantic","Plage des Nations-Rt de Kénitra","99350","MA","Maroc","0","Sidi Bouknadel","01/09/2020"
"3500068X","Toulouse Business School Casablanca","445","Ecole de commerce- gestion- comptabilité- vente","Privé","La Colline 2","Quartier d'Affaires -SIDI MAROUF","","MA","Maroc","0","CASABLANCA","01/09/2016"
"3500069Y","Lycée français international Alphonse Daudet","304","Lycée français à l'étranger","Public","Q.I. Oukacha - Lot. Atawfiq","Aïn Sebaâ","","MA","Maroc","0","CASABLANCA","25/05/2020"
"3500070Z","Ecole Paul Riquet","154","Ecole primaire française à l'étranger","Privé","LOT 55-98, HAY AL MATAR","","6200","MA","Maroc","0","NADOR","01/09/2021"
"3500071A","Ecole Paul Riquet","154","Ecole primaire française à l'étranger","Privé","","","","MA","Maroc","","","01/09/2021"
"3500072B","Ecole Paul Riquet","154","Ecole primaire française à l'étranger","Privé","LOT 55-98, HAY AL MATAR","BP6200","","MA","Maroc","0","NADOR","01/09/2021"
"3500074D","Ecole Centrale Casablanca","553","Ecole d'ingénieurs","Public","Ville Verte Côté Latéral Est","","","MA","Maroc","0","CASABLANCA","01/01/2015"
"3500075E","Lycée français Léon l'Africain (annexe du Domaine d'Anfa)","304","Lycée français à l'étranger","Privé","Boulevard Azzemour","Route de Dar Bouazza","","MA","Maroc","0","CASABLANCA","06/06/2024"
"3500076F","Lycée français Léon l'Africain","364","Collège français à l'étranger","Privé","route des Zaers","Lotissement Dar Essalam km6","","MA","Maroc","0","RABAT","06/06/2024"
"3500077G","Ecole Nationale Supérieure d'Arts et Métiers de Rabat","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","","","","MA","Maroc","0","RABAT","01/01/1980"
"3500078H","Université internationale de Rabat, Ecole supérieure d'ingénierie de l'énergie","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Techno Rabat-Shore - Rocade-Salé","","","MA","Maroc","0","RABAT","01/01/2010"
"3500079J","Université internationale de Rabat, Ecole supérieure d'informatique et du numérique","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rabat-Shore - Rocade Rabat-Salé","","","MA","Maroc","0","RABAT","01/01/2010"
"3500080K","Université internationale de rabat, School of Aerospace - Automotive Engineering","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rabat-Shore - Rocade Rabat-Salé","","","MA","Maroc","0","RABAT","01/01/2010"
