"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"2170001X","Lycée francais international de Tokyo","304","Lycée français à l'étranger","Public","5-57-37 Takinogawa","114-0023 TOKYO","","JP","Japon","","","20/02/1978"
"2170003Z","Lycée Français International de Kyoto","304","Lycée français à l'étranger","Privé","536-1 WARAYA-CHO MARUTAMACHI DO","KYOTO-KAMIGYO-KU602-8144","","JP","Japon","","","01/09/1992"
