"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"4050001A","Section française du lycée franco-mexicain de Mexico","304","Lycée français à l'étranger","Privé","COLONIA POLANCO","MEXICO DF 11560","","MX","Mexique","","","01/01/1983"
"4050004D","Lycee francais de Guadalajara","304","Lycée français à l'étranger","Privé","Francisco Villa 235","CP 45019 GUADALAJARA","","MX","Mexique","","","01/01/1984"
"4050006F","Ecole Molière de Cuernavaca","364","Collège français à l'étranger","Privé","Francisco I. Madero 315 colonia","BP62220 - CUERNAVACA - MORELOS","","MX","Mexique","","","01/01/1983"
"4050008H","Ecole Française Alexandre Dumas","154","Ecole primaire française à l'étranger","Privé","Prado Norte 614, Mexico","11000 Delegación Miguel Hidalgo","","MX","Mexique","","","16/06/2015"
"4050009J","Lycée Français International","154","Ecole primaire française à l'étranger","Privé","Avenida Universidades km 5+150","Querétaro","","MX","Mexique","","","11/06/2018"
"4050010K","Escuela franco mexicana de Merida","154","Ecole primaire française à l'étranger","Privé","Calle 12 #300 31x35","97165 Merida, Yucatan","","MX","Mexique","","","06/06/2024"
