"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1390001W","Institut français du Portugal","505","Etablissement public d'enseignement supérieur","Public","Rua Santos-o-Velho 11","LISBONNE","","PT","Portugal","","","12/08/1966"
"1390002X","Lycée français Charles Lepierre de Lisbonne","304","Lycée français à l'étranger","Public","Avenida Duarte Pacheco, 32","LISBONNE 1071-811","","PT","Portugal","","","18/06/1969"
"1390003Y","lycée français Marius Latour de Porto","304","Lycée français à l'étranger","Privé","27 RUA GIL EANES","PORTO","","PT","Portugal","","","01/01/1983"
"1390005A","Redbridge School","364","Collège français à l'étranger","Privé","","","","PT","Portugal","","","18/06/2019"
"1390006B","L'Ecole trilingue","154","Ecole primaire française à l'étranger","Privé","Lisbonne","","","PT","Portugal","","","04/06/2025"
