"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1050001F","Ecole française Jules Verne d'Helsinki","154","Ecole primaire française à l'étranger","Privé","Ratakatu 6A","","00120","FI","Finlande","0","HELSINKI","01/01/1983"
"1050003H","ECOLE AREVA - MLF de RAUMA","154","Ecole primaire française à l'étranger","Privé","c/o Nanun Koulu Höylääjänkatu25","RAUMA FI- 26100","","FI","Finlande","","","16/08/2005"
"1050004J","Enseignement européen d'Helsinki","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","BULEVARDI 18","HELSINKI","","FI","Finlande","","","01/09/2011"
