"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1260001S","Ecole française d'Athènes","504","Ecole francaise à l'étranger","Public","6 RUE DIDOTOU","106 80 ATHENES","","GR","Grèce","","","22/12/1969"
"1260002T","Lycée franco-hellénique Eugène Delacroix d'Athènes","304","Lycée français à l'étranger","Privé","RUE CHLOIS ET TRIKALON","BPB.P. 60050 - ATHENES 15301","","GR","Grèce","","","01/01/1983"
"1260004V","Ecole française de la Mission laique de Thessalonique","154","Ecole primaire française à l'étranger","Privé","BP 18103","THESSALONIQUE","","GR","Grèce","","","01/01/1983"
