"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"5010001D","Lycée franco-australien de Canberra","304","Lycée français à l'étranger","Privé","New South Wales Crescent","Barton. ACT 2600","2600","AU","Australie","0","CANBERRA","01/01/1983"
"5010004G","Lycée Condorcet, the international french school of Sydney","304","Lycée français à l'étranger","Privé","758 Anzac Parade","SYDNEY NSW 2035","","AU","Australie","","","01/01/1983"
"5010005H","Ecole maternelle franco-australienne Redhill de Canberra","154","Ecole primaire française à l'étranger","Privé","FRENCH-AUSTRALIAN PRESCHOOL","2603 CANBERRA MANUKA","","AU","Australie","","","26/09/1973"
"5010006J","Ecole française de Melbourne","154","Ecole primaire française à l'étranger","Privé","Caulfield Junior College","MELBOURNE Vic 3161","","AU","Australie","","","01/09/2006"
"5010007K","Auburn High School","304","Lycée français à l'étranger","Public","Burgess Street, East Hawthorn","Melbourne","","AU","Australie","","","28/06/2016"
"5010008L","Tingalpa State School","154","Ecole primaire française à l'étranger","Public","1546 Wynnum Road","BRISBANE","","AU","Australie","","","01/09/2017"
"5010009M","Highgate School","154","Ecole primaire française à l'étranger","Public","4 Hampstead Avenue","Highgate","","AU","Australie","","","04/06/2025"
