"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1350003V","Lycée Van Gogh de La Haye","304","Lycée français à l'étranger","Public","Scheveningseweg 237","LA HAYE 2584","","NL","Pays-Bas","","","26/11/1973"
"1350004W","Ecole française annexe du lycee Van-Gogh","154","Ecole primaire française à l'étranger","Public","Rustenburgerstraat 246","AMSTERDAM 1073 GK","","NL","Pays-Bas","","","01/01/1983"
"1350005X","Ecole européenne de Bergen","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","Molenweidtje 5","1860 AB BERGEN NH","","NL","Pays-Bas","","","01/11/1996"
"1350007Z","International French School Amsterdam","304","Lycée français à l'étranger","Privé","Anthonie van Dijckstraat 1","BG 1077 ME Amsterdam","","NL","Pays-Bas","","","21/06/2022"
"1350008A","Europese School Den Haag Rijnlands Lyceum, Pays-Bas","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","LA HAYE","","","NL","Pays-Bas","","","11/01/2013"
