"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"4040073J","The French American School of Tampa Bay","154","Ecole primaire française à l'étranger","Privé","2100 62nd Avenue North","BPFLORIDA - FL33702","","US","États-Unis","","","01/09/2020"
"4040074K","French American International School of Boca Raton","154","Ecole primaire française à l'étranger","Public","2500 NW5th avenue","","33431","US","États-Unis","","","01/09/2020"
"4040075L","Ecole française internationale de Boca Raton - Le Petit Prince","154","Ecole primaire française à l'étranger","Public","7902Monoya circle Nd BocaRaton 3","","","US","États-Unis","","","01/09/2020"
"4040076M","International Leadership Academy","154","Ecole primaire française à l'étranger","Public","POBOX996 LakeOswego Oregon 97035","","","US","États-Unis","","","01/09/2020"
"4040077N","International School of Orange County","154","Ecole primaire française à l'étranger","Privé","","","","US","États-Unis","","","01/09/2021"
"4040078P","Tessa International School of Hoboken","154","Ecole primaire française à l'étranger","Privé","BP","","07030","US","États-Unis","","","01/09/2022"
"4040079R","The international School of Greenville","154","Ecole primaire française à l'étranger","Privé","BPPO B  29616","","25103","US","États-Unis","","","01/09/2023"
"4040080S","Les Lilas French Bilingual Community School","154","Ecole primaire française à l'étranger","Privé","","","","US","États-Unis","","","01/09/2023"
"4040081T","L'école - French international school of Raleigh","154","Ecole primaire française à l'étranger","Privé","5510 Munford Road","27612 Raleigh, North Carolina","","US","États-Unis","","","06/06/2024"
"4040082U","North Seattle French School","154","Ecole primaire française à l'étranger","Privé","18560 1st Ave NE","98155 Shoreline, Washington","","US","États-Unis","","","06/06/2024"
"4040083V","SKEMA BUSINESS SCHOOL - Campus de Raleigh (USA)","445","Ecole de commerce- gestion- comptabilité- vente","Privé","920 Main Campus Drive","Raleigh","27606","US","États-Unis","","","01/01/1992"
