"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"4010001X","Collège Stanislas et son annexe de Québec à Montréal","304","Lycée français à l'étranger","Privé","780 boulevard Dollard","MONTREAL H2V 3G5","","CA","Canada","","","01/01/1983"
"4010004A","Collège International Marie de France de Montréal","304","Lycée français à l'étranger","Privé","4635 CHEMIN QUEEN MARY","MONTREAL H3W 1W3","","CA","Canada","","","01/01/1983"
"4010005B","Lycée Paul Claudel d'Ottawa","304","Lycée français à l'étranger","Privé","1635 RIVERSIDE DRIVE","OTTAWA","","CA","Canada","","","01/01/1983"
"4010006C","Lycée international de Calgary","304","Lycée français à l'étranger","Privé","4099-GARRISON BOULEVARD SW","CALGARY-ALBERTA","","CA","Canada","","","01/01/1983"
"4010007D","TFS Ecole internationale du Canada","364","Collège français à l'étranger","Privé","306 Lawrence Avenue East","TORONTO - ONTARIO","","CA","Canada","","","01/01/1984"
"4010010G","Lycée français de Toronto","304","Lycée français à l'étranger","Privé","2327 Dufferin Street","TORONTO","","CA","Canada","","","01/09/1995"
"4010013K","Ecole française internationale Cousteau de Vancouver","364","Collège français à l'étranger","Privé","3657 FROMME ROAD","VANCOUVER NORTH BC","","CA","Canada","","","01/09/1997"
"4010014L","Académie Providence Soeurs Antonines","154","Ecole primaire française à l'étranger","Privé","rue 998 Frances","K1K 3L5 Ottawa","","CA","Canada","","","01/09/2021"
"4010015M","Collège Stanislas - annexe de Québec à Sillery","364","Collège français à l'étranger","Privé","1605, Chemin Ste-Foy","G1S2P1 Québec","","CA","Canada","","","06/06/2024"
