"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1360002N","Lycée français international Samuel Beckett","304","Lycée français à l'étranger","Privé","St Killians - Roebock Road -","DUBLIN 18","","IE","Irlande","","","01/01/1983"
"1360003P","EM Normandie Ireland Limited - Campus de Dublin","445","Ecole de commerce- gestion- comptabilité- vente","Privé","22-24 foley Street Dublin 1","Ulysses House","","IE","Irlande","","","01/09/2017"
"1360004R","Centre for European Schooling, Dunshaughlin, Irlande","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","DUNSHAUGHLIN","","","IE","Irlande","","","16/08/2007"
