"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1110001Y","Lycee français Victor Hugo de Sofia","304","Lycée français à l'étranger","Privé","110 Simeonovsko chaussée","complexe MAXI quartier Vitosha","1700","BG","Bulgarie","0","SOFIA","01/01/1983"
"1110002Z","Lycée français international de Varna - Charles Perrault","304","Lycée français à l'étranger","Privé","St Constantine and Helena","9006 VARNA VARNA","","BG","Bulgarie","","","01/09/2011"
"1110003A","Université technique de Sofia - Faculté francophone de génie électrique et informatique","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","8, Kliment Ohridski","","1000","BG","Bulgarie","0","SOFIA","01/01/1992"
"1110004B","Université technologique de chimie et métallurgie de Sofia, Faculté de génie chimique - Filière francophone d'ingénieur","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Bul. Kliment Ohridski, 8","","1756","BG","Bulgarie","0","SOFIA","10/06/1953"
